.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Imported all necessary python modules.
2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite3 temporary work DB set up completed.
2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Global dictionary initiated to resolve SAS macro varaibles.
2021-05-03 10:48:25,539 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce202101.
2021-05-03 10:48:25,539 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202101 created successfully with 57892 records and 117 columns.
2021-05-03 10:48:32,399 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce.
2021-05-03 10:48:32,529 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG1 created successfully with 57892 records
2021-05-03 10:48:40,937 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii202101.
2021-05-03 10:48:40,938 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202101 created successfully with 325790 records and 213 columns.
2021-05-03 10:49:56,986 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii.
2021-05-03 10:49:58,223 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG2 name created successfully with 325790 records
2021-05-03 10:50:00,718 - GW_IPM_RENRATIO REGIONAL AUTO INFO - InfRen202101 created successfully with 383682 records
2021-05-03 10:50:02,752 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce202102.
2021-05-03 10:50:02,752 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202102 created successfully with 57047 records and 117 columns.
2021-05-03 10:50:09,444 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce.
2021-05-03 10:50:09,573 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG1 created successfully with 57047 records
2021-05-03 10:50:17,622 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii202102.
2021-05-03 10:50:17,622 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202102 created successfully with 321125 records and 213 columns.
2021-05-03 10:51:33,033 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii.
2021-05-03 10:51:34,209 - GW_IPM_RENRATIO REGIONAL AUTO INFO - inforceG2 name created successfully with 321125 records
2021-05-03 10:51:36,688 - GW_IPM_RENRATIO REGIONAL AUTO INFO - InfRen202102 created successfully with 378172 records
2021-05-03 10:51:38,598 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 58808 records read from table:inforce202012.
2021-05-03 10:51:38,598 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202012 created successfully with 58808 records and 117 columns.
2021-05-03 10:51:45,283 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 58808 records read from table:inforce202012.
2021-05-03 10:51:45,325 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 58808 records
2021-05-03 10:51:45,941 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 9442 records read from table:Gen1.
2021-05-03 10:51:46,099 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 9442 records
2021-05-03 10:51:54,438 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 330227 records read from table:inforcegenii202012.
2021-05-03 10:51:54,438 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202012 created successfully with 330227 records and 213 columns.
2021-05-03 10:53:10,906 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 330227 records read from table:inforcegenii202012.
2021-05-03 10:53:12,790 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 330227 records
2021-05-03 10:53:56,183 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 51458 records read from table:Gen2.
2021-05-03 10:53:59,111 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 51458 records
2021-05-03 10:54:04,895 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew1 created successfully with 60900 records
2021-05-03 10:54:05,691 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33050 records read from table:agent.
2021-05-03 10:54:05,692 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table AGENT created successfully with 33050 records and 14 columns.
2021-05-03 10:54:06,265 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33050 records read from table:agent202012.
2021-05-03 10:54:06,285 - GW_IPM_RENRATIO REGIONAL AUTO INFO - agent created successfully with 33050 records
2021-05-03 10:54:06,439 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 10:54:06,440 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Renew2 table
2021-05-03 10:54:06,683 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW2 created successfully with 60900 records.
2021-05-03 10:54:06,683 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 10:54:07,507 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 60900 records read from table:Renew2.
